type chaussures,prix,adresse,image_lien
Asic 1130,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5685340_uploaded_image1_1766430589.jpg
Asic,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5685339_uploaded_image1_1766430531.jpg
Asic NYC,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5685344_uploaded_image1_1766430679.jpg
Asic NYC,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5685346_uploaded_image1_1766430764.jpg
Baskets New Balance ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5662321_uploaded_image1_1765216328.jpg
New Balance X lord piana,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5697830_uploaded_image1_1767208577.jpg
Puma Magmax nitro,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5697829_uploaded_image1_1767208462.jpg
Baskets Jordan 5,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5690650_uploaded_image1_1766774637.jpg
Baskets Prada,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5690656_uploaded_image1_1766775047.jpg
New Balance 1906,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5697825_uploaded_image1_1767208036.jpg
Nike free metcon6,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5697826_uploaded_image1_1767208183.jpg
New Balance 1906,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5697823_uploaded_image1_1767207949.jpg
New Balance 1906,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5697822_uploaded_image1_1767207853.jpg
Jordan 11,23 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5682349_uploaded_image1_1766243825.jpg
Baskets Nike Nocta,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5688212_uploaded_image1_1766588802.jpg
Baskets Nike Nocta,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5688217_uploaded_image1_1766588906.jpg
Baskets Nike nocta,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5688215_uploaded_image1_1766588855.jpg
Nike shox r4,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683579_uploaded_image1_1766328567.jpg
Baskets New Balance 1906,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5675150_uploaded_image1_1765886318.jpg
Baskets New Balance 740,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5675114_uploaded_image1_1765885442.jpg
Baskets New Balance 740,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5675116_uploaded_image1_1765885490.jpg
Baskets New Balance 740,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5675111_uploaded_image1_1765885381.jpg
Chaussures New Balance 740,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5675109_uploaded_image1_1765885332.jpg
Baskets New Balance 740,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5675107_uploaded_image1_1765885282.jpg
Baskets Puma speedcat blue,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5686398_uploaded_image1_1766492033.jpg
Puma speedcat blue,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5686391_uploaded_image1_1766491918.jpg
Baskets Adidas Spezial,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5686382_uploaded_image1_1766491684.jpg
Chaussures Adidas Spezial ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5686387_uploaded_image1_1766491816.jpg
Baskets Adidas ,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5684645_uploaded_image1_1766398619.jpg
Baskets Adidas ,27 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5684648_uploaded_image1_1766398735.jpg
Mocassins homme,14 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5681879_uploaded_image1_1766220813.jpg
Mocassins ,14 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5681882_uploaded_image1_1766220869.jpg
Louis vuitton alden,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5659605_uploaded_image1_1765061738.jpg
Air force one ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683002_uploaded_image1_1766275531.jpg
Air force one ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683003_uploaded_image1_1766275668.jpg
Baskets Air force one ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683004_uploaded_image1_1766275716.jpg
New Balance 1000,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5664667_uploaded_image1_1765321088.jpg
Baskets New Balance 1000,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5664664_uploaded_image1_1765321021.jpg
Nike Air force 1 cacao,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5664658_uploaded_image1_1765320885.jpg
Asic gel ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5674251_uploaded_image1_1765839964.jpg
Asic gel kayono,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5674249_uploaded_image1_1765839904.jpg
New Balance ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5674245_uploaded_image1_1765839813.jpg
Chaussures de ville,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5660977_uploaded_image1_1765145540.jpg
Chaussures de ville,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5660975_uploaded_image1_1765145484.jpg
Chaussures de ville,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5660969_uploaded_image1_1765145356.jpg
Chaussures de ville,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5660971_uploaded_image1_1765145411.jpg
Chaussures de ville,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5660965_uploaded_image1_1765145291.jpg
Baskets Nike Air Max moto,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5658145_uploaded_image1_1764970934.jpg
Nike Air Max moto ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5658152_uploaded_image1_1764971196.jpg
Nice Air Max ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5658154_uploaded_image1_1764971268.jpg
Baskets Adidas samba ,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656549_uploaded_image1_1764883907.jpg
Baskets Nike nocta,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656544_uploaded_image1_1764883707.jpg
New balance 740,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5685653_uploaded_image1_1766444520.jpg
Nike shox R4,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5685654_uploaded_image1_1766444577.jpg
Baskets Fendi,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656541_uploaded_image1_1764883603.jpg
Dior cd,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656533_uploaded_image1_1764883235.jpg
Baskets Jordan 1,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656536_uploaded_image1_1764883328.jpg
Louis vuitton skate,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656527_uploaded_image1_1764883123.jpg
Asic Gel Nyc ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656524_uploaded_image1_1764883061.jpg
Baskets Louis vuitton ,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656538_uploaded_image1_1764883544.jpg
Baskets Timberland boots,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670176_uploaded_image1_1765576010.jpg
Baskets Air force 1 montante ,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656516_uploaded_image1_1764882787.jpg
Baskets Nike TN,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656485_uploaded_image1_1764881869.jpg
Baskets Air force 1 ,19 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656505_uploaded_image1_1764882446.jpg
New Balance Fuel cell,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656501_uploaded_image1_1764882356.jpg
New Balance ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656513_uploaded_image1_1764882662.jpg
Baskets Jordan 3,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656508_uploaded_image1_1764882568.jpg
Baskets Air force 1,13 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656488_uploaded_image1_1764881966.jpg
Baskets Nike P6000,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656495_uploaded_image1_1764882253.jpg
Baskets Jordan 3 rétro ,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5658114_uploaded_image1_1764969274.jpg
Timberland boots,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670171_uploaded_image1_1765575893.jpg
Dior b22,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5666582_uploaded_image1_1765401850.jpg
Baskets Timberland ,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656479_uploaded_image1_1764881761.jpg
Baskets Jordan 4 rétro,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656461_uploaded_image1_1764881200.jpg
Dior b22,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5666583_uploaded_image1_1765401903.jpg
Nike Air Max 95,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5666574_uploaded_image1_1765401723.jpg
Dior b22,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5666578_uploaded_image1_1765401789.jpg
Nike Air Max 95,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5666571_uploaded_image1_1765401673.jpg
Baskets Air Max 95,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656457_uploaded_image1_1764881079.jpg
Baskets Saucony,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656454_uploaded_image1_1764880975.jpg
Baskets Asic 1130,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656446_uploaded_image1_1764880658.jpg
Sandale Dior alpha,17 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656452_uploaded_image1_1764880848.jpg
Baskets Louis Vuitton,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656449_uploaded_image1_1764880744.jpg
Baskets New Balance 740,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656445_uploaded_image1_1764880538.jpg
Asic kayono 14,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656440_uploaded_image1_1764880329.jpg
Asic kayono,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5656438_uploaded_image1_1764880204.jpg
Chaussures Nike shox R4,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670082_uploaded_image1_1765572126.jpg
Baskets Air force one,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670093_uploaded_image1_1765572493.jpg
Baskets Nike shox,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670096_uploaded_image1_1765572588.jpg
Baskets Air Force one low,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670087_uploaded_image1_1765572281.jpg
Baskets Vomero 5 grey,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670091_uploaded_image1_1765572375.jpg
Air Max 95,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677895_uploaded_image1_1766004947.jpg
Louis vuitton ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677899_uploaded_image1_1766005001.jpg
Baskets Vomero 5 Grey,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5670080_uploaded_image1_1765572066.jpg
Air Max 95,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677883_uploaded_image1_1766004732.jpg
Louis vuitton ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677901_uploaded_image1_1766005049.jpg
Louis vuitton ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677903_uploaded_image1_1766005102.jpg
Air Max 95,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677887_uploaded_image1_1766004839.jpg
Air Max 95,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5677885_uploaded_image1_1766004784.jpg
Lacoste Gripshot,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683925_uploaded_image1_1766347889.jpg
Vans,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683921_uploaded_image1_1766347767.jpg
Nike Air force 1,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683935_uploaded_image1_1766348133.jpg
Lacoste Gripshot ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683928_uploaded_image1_1766347979.jpg
Pull capuche,12 000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5699793_uploaded_image1_1767367425.jpg
Chaussures  homme,15 000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5699778_uploaded_image1_1767367167.jpg
Chaussures  homme,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5698978_uploaded_image2_1767319835.jpeg
Chaussures  homme,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5698977_uploaded_image1_1767319747.jpg
Chaussures homme,23 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5698976_uploaded_image1_1767319672.jpg
Chaussures homme,35 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5698975_uploaded_image1_1767319515.jpg
Chaussures homme,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5698973_uploaded_image1_1767319435.jpg
Chaussures homme,25 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5698972_uploaded_image1_1767319318.jpg
Crocs,12 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5698297_uploaded_image1_1767266322.jpg
Chaussures orthopédique,20 000CFA,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5696622_uploaded_image1_1767118569.jpg
Babouches Mercedes,18 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5691951_uploaded_image1_1766844530.jpg
Babouches Kubok,15 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5691946_uploaded_image1_1766844142.jpg
Mocassins homme ,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5691943_uploaded_image1_1766843848.jpg
Chaussures  homme,10 000CFA,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5686549_uploaded_image1_1766499161.jpg
Chaussures  homme,16 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5686359_uploaded_image1_1766491043.jpg
Baskets homme,23 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5684984_uploaded_image1_1766412191.jpg
Chaussures hommes,12 000CFA,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5684967_uploaded_image1_1766411263.jpg
Chaussures en cuir,17 000CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5683541_uploaded_image1_1766326033.jpg
Baskets New Balance ,15 000CFA,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5683537_uploaded_image1_1766325898.jpg
Baskets New Balance ,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5683536_uploaded_image1_1766325755.jpg
Chaussures homme ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5682391_uploaded_image1_1766245145.jpg
Baskets homme,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5682382_uploaded_image1_1766244995.jpg
Chaussures homme ,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5682378_uploaded_image1_1766244875.jpg
Chaussures Timberland ,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5680600_uploaded_image1_1766150893.jpg
Chaussures  homme,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5680272_uploaded_image1_1766140107.jpg
Chaussures de ville Berlutti,17 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5679637_uploaded_image1_1766094709.jpg
Chaussures  homme,25 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5678785_uploaded_image1_1766057863.jpg
Chaussures  homme,17 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5678764_uploaded_image1_1766057124.jpg
Baskets Vans Old Skool,22 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5675964_uploaded_image1_1765915814.jpg
Baskets Dior B30,28 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5675946_uploaded_image1_1765915137.jpg
Chaussures  homme,13 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5671802_uploaded_image1_1765707912.jpg
Sandales hommes,20 000CFA,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5670966_uploaded_image1_1765632751.jpg
Chaussures homme ,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5670338_uploaded_image1_1765587712.jpg
Chaussures Timberland ,35 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5670337_uploaded_image1_1765587558.jpg
Chaussures homme,10 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5668243_uploaded_image1_1765485052.jpg
Chaussures  homme,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5664827_uploaded_image1_1765327495.jpg
Chaussures homme ,70 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5663750_uploaded_image1_1765287759.jpg
Chaussures homme ,12 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5663585_uploaded_image1_1765284255.jpg
Sandales homme,3 500CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5663265_uploaded_image1_1765271794.jpg
Chaussures  homme,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5662812_uploaded_image1_1765242670.jpg
Chaussures  homme,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5662809_uploaded_image1_1765242541.jpg
Chaussures  homme,30 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5662799_uploaded_image1_1765242068.jpg
Baskets Adidas ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5662790_uploaded_image1_1765241874.jpg
Sandales orthopédique,15 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5662788_uploaded_image1_1765241793.jpg
Mocassins Croco ,5 500CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5662701_uploaded_image1_1765232143.jpg
Baskets homme,6 500CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5662700_uploaded_image2_1765231883.jpeg
Chaussures hommes ,17 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5662466_uploaded_image1_1765222050.jpg
Chaussures homme ,25 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5662016_uploaded_image1_1765206011.jpg
Chaussures homme,25 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5661679_uploaded_image1_1765195127.jpg
Chaussures  homme,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5661677_uploaded_image1_1765195040.jpg
Chaussures  homme,25 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5661671_uploaded_image1_1765194838.jpg
Chaussures  homme,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5661669_uploaded_image1_1765194788.jpg
Chaussures  homme,20 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5661667_uploaded_image1_1765194718.jpg
Chaussures hommes,15 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5659092_uploaded_image1_1765032622.jpg
Chaussures Berluti,15 000CFA,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5659090_uploaded_image1_1765032457.jpg
Chaussures  homme,12 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5658676_uploaded_image1_1765012272.jpg
Baskets Nike Air Max 95,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5609154_uploaded_image1_1762451266.jpg
Baskets Nike,12 000CFA,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5656286_uploaded_image1_1764873140.jpg
Chaussures homme ,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5656226_uploaded_image1_1764870869.jpg
Chaussures homme,20 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5654964_uploaded_image1_1764815249.jpg
Chaussures  homme,20 000CFA,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5654962_uploaded_image1_1764815112.jpg
Chaussures homme,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5654945_uploaded_image1_1764813406.jpg
Baskets Nocta,25 000CFA,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5653847_uploaded_image1_1764763835.jpg
